	0	1
CD4+ EM maturity and PD1+ expression	25.904294043200387	23.117935847883306
CD4+ EM maturity and HLA-DR+ expression	22.48468415869924	23.89931581096237
CD4+ EM maturity and CD39+ expression	23.94575784266022	12.066445090058211
CD4+ EM maturity and CD226+ expression	29.345298140135313	22.81065983607221
CD4+ CM maturity and PD-1-TIGIT+ expression	9.363316992402392	0.9418019556507987
CD4+ CM maturity and PD-1-TIGIT- expression	23.872883230103817	5.166221093030658
CD4+ CM maturity and PD-1+TIGIT+ expression	18.438205600702165	9.758888230412722
CD4+ CM maturity and PD-1+TIGIT- expression	16.310172704441282	10.943843260625577
CD4+ CM maturity and PD1+ expression	22.63944619839037	13.318970096588892
CD4+ CM maturity and HLA-DR+ expression	17.23421458597272	13.157041065776314
CD4+ CM maturity and CD39+ expression	21.252445537448498	6.040301510393198
CD4+ CM maturity and CD226+ expression	28.621823747760587	13.153429454339642
CD4+ CM maturity and None expression	31.61852195668897	12.552876588267873
CD4+ None maturity and CD39+ expression	29.097090330924846	13.550134555392534
CD4+ None maturity and CD226+ expression	39.17946329007549	22.791363211881535
Treg_Th22 None maturity and None expression	9.129868780671744	2.3348982226042154
Treg_Th2 None maturity and None expression	11.343950769733885	0.3930008995562346
Treg_Th17 None maturity and None expression	14.343236768009904	1.8933776555074142
Treg None maturity and None expression	10.007804734187804	2.220446049250313e-16
Th22 TM maturity and None expression	10.366646001378701	5.2209907650819805
Th2 TM maturity and None expression	11.843051006768889	4.8888901932983195
Th17.1 TM maturity and None expression	7.1110053997676195	6.5364318638737045
Th17 TM maturity and None expression	16.15100007469908	7.9442207973457055
Th1 TM maturity and None expression	7.70455337056769	18.224338421908996
Th22 None maturity and None expression	12.024158233095452	6.683874988745822
Th2 None maturity and None expression	23.72210654735177	7.211560875303175
Th17.1 None maturity and None expression	8.993973347707474	8.069342688483548
Th17 None maturity and None expression	22.731252371305278	9.958282086192831
Th1 None maturity and None expression	14.788228672097915	19.627792407362765
Tfh None maturity and None expression	22.44999723477682	10.896350952954911
Th1 TE maturity and None expression	2.220446049250313e-16	7.307314147789768
Th2 NV maturity and None expression	14.375918454311272	2.220446049250313e-16
Th1 NV maturity and None expression	10.753030182755314	2.220446049250313e-16
Th2 CM maturity and None expression	17.715203813580622	0.8497685547117121
Th17 CM maturity and None expression	16.699630894810507	5.694098309062153
Th1 CM maturity and None expression	7.451494399758011	3.097046898354746
CD8+ TM maturity and None expression	9.724191137282702	22.84395889368075
CD4+ TM maturity and None expression	30.381919020238662	21.29932829466072
active_t_cells	15.699404941986728	19.452976458789163
supressed_t_cells	16.570332305075144	17.310562984206808
cd4_t_cells	37.13026334819898	2.220446049250313e-16
cd8_t_cells	8.107821932877739	25.478379888925176
th17	25.11269562898567	9.086260290068276
active_to_suppressed_t_cells	27.30703063191126	11.359137869497147
cd4_to_cd8_t_cells	28.668326350058784	8.224486004875917
th17_to_cd4_t_cells	25.648641866804045	8.3891957729536
