	feature_cluster	feature_fraction
CD8+ CM maturity and CD226+ expression	Th1 TE, CD4+ TE, CD8+ CM TE EMTM PD-1+	0.721223354390367
CD8+ CM maturity and None expression	Th1 TE, CD4+ TE, CD8+ CM TE EMTM PD-1+	0.5261489228033571
CD8+ None maturity and CD39+ expression	Th1 TE, CD4+ TE, CD8+ CM TE EMTM PD-1+	0.60631214353816
CD8+ None maturity and CD226+ expression	Th1 TE, CD4+ TE, CD8+ CM TE EMTM PD-1+	0.6574206439461444
CD4+ TE maturity and TIGIT+ expression	Th1 TE, CD4+ TE, CD8+ CM TE EMTM PD-1+	0.5621751717225695
CD4+ TE maturity and PD-1-TIGIT+ expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.6080625576528703
CD4+ TE maturity and PD-1-TIGIT- expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.6492094000079153
CD4+ TE maturity and PD-1+TIGIT+ expression	Th1 TE, CD4+ TE, CD8+ CM TE EMTM PD-1+	0.6378720940705872
CD4+ TE maturity and PD-1+TIGIT- expression	Th1 TE, CD4+ TE, CD8+ CM TE EMTM PD-1+	0.6960267000247061
CD4+ TE maturity and PD1+ expression	Th1 TE, CD4+ TE, CD8+ CM TE EMTM PD-1+	0.6122853191775863
CD4+ TE maturity and HLA-DR+ expression	Th1 TE, CD4+ TE, CD8+ CM TE EMTM PD-1+	0.6377047607706795
CD4+ TE maturity and CD39+ expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.6053223424904693
CD4+ TE maturity and CD226+ expression	Th1 TE, CD4+ TE, CD8+ CM TE EMTM PD-1+	0.5020179472398619
CD4+ TE maturity and None expression	Th1 TE, CD4+ TE, CD8+ CM TE EMTM PD-1+	1.0
CD4+ None maturity and PD-1-TIGIT+ expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.7729554225501976
CD4+ None maturity and PD-1-TIGIT- expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.7741644589395795
CD4+ None maturity and PD-1+TIGIT+ expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.5881169254444025
CD4+ None maturity and PD-1+TIGIT- expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.5231863546194784
CD4+ None maturity and PD-1+ expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.5632524666642702
CD4+ NV maturity and TIGIT+ expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.8057868859465576
CD4+ NV maturity and PD-1-TIGIT+ expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.95384392401928
CD4+ NV maturity and PD-1-TIGIT- expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	1.0
CD4+ NV maturity and PD-1+TIGIT+ expression	T helpers Naive, Treg Naive, CD8+ Naive PD-1-TIGIT-	0.710349834773567
